2026/01/16 13:49:03 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:11 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:11 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:11 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:11 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:11 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:11 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:18 [error] 192#192: *2643 open() "/var/www/html/:8080" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /:8080 HTTP/1.1", host: "kolibri.hime-edu.local"
2026/01/16 13:49:34 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:34 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:34 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:34 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:34 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:34 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:42 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:42 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:42 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:42 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:42 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:49:42 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:50:13 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:50:13 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:50:13 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:50:13 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:50:13 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:50:13 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:51:16 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:51:16 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
2026/01/16 13:51:16 [error] 190#190: *2591 open() "/var/www/html/canonical.html" failed (2: No such file or directory), client: 172.19.0.1, server: localhost-nginx-proxy-manager, request: "GET /canonical.html HTTP/1.1", host: "detectportal.firefox.com"
